LAST SEEN   TYPE      REASON                   OBJECT                                   MESSAGE
12m         Warning   FailedScheduling         pod/rabbitmq-79d58d7457-g59zg            0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    ScalingReplicaSet        deployment/rabbitmq                      Scaled up replica set rabbitmq-79d58d7457 from 0 to 1
12m         Normal    SuccessfulCreate         replicaset/rabbitmq-79d58d7457           Created pod: rabbitmq-79d58d7457-g59zg
12m         Normal    WaitForFirstConsumer     persistentvolumeclaim/mongodb-data-pvc   waiting for first consumer to be created before binding
12m         Normal    ScalingReplicaSet        deployment/mongodb                       Scaled up replica set mongodb-d948b8585 from 0 to 1
12m         Normal    SuccessfulCreate         replicaset/mongodb-d948b8585             Created pod: mongodb-d948b8585-kzcjv
12m         Warning   FailedScheduling         pod/mongodb-d948b8585-kzcjv              0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Warning   FailedScheduling         pod/asset-service-c744d6667-lgwwt        0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Warning   FailedScheduling         pod/asset-service-c744d6667-56pqq        0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    SuccessfulCreate         replicaset/asset-service-c744d6667       Created pod: asset-service-c744d6667-56pqq
12m         Normal    SuccessfulCreate         replicaset/asset-service-c744d6667       Created pod: asset-service-c744d6667-lgwwt
12m         Normal    ScalingReplicaSet        deployment/asset-service                 Scaled up replica set asset-service-c744d6667 from 0 to 2
12m         Normal    SuccessfulCreate         replicaset/meter-service-5b8f45f67f      Created pod: meter-service-5b8f45f67f-x8m57
12m         Warning   FailedScheduling         pod/meter-service-5b8f45f67f-5tzlj       0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    SuccessfulCreate         replicaset/meter-service-5b8f45f67f      Created pod: meter-service-5b8f45f67f-5tzlj
12m         Normal    ScalingReplicaSet        deployment/meter-service                 Scaled up replica set meter-service-5b8f45f67f from 0 to 2
12m         Warning   FailedScheduling         pod/meter-service-5b8f45f67f-x8m57       0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    NotTriggerScaleUp        pod/meter-service-5b8f45f67f-5tzlj       pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Normal    NotTriggerScaleUp        pod/asset-service-c744d6667-lgwwt        pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Normal    NotTriggerScaleUp        pod/meter-service-5b8f45f67f-x8m57       pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Normal    NotTriggerScaleUp        pod/mongodb-d948b8585-kzcjv              pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Normal    NotTriggerScaleUp        pod/rabbitmq-79d58d7457-g59zg            pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Normal    NotTriggerScaleUp        pod/asset-service-c744d6667-56pqq        pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
12m         Warning   FailedScheduling         pod/dispatch-service-5589cf949c-76sb4    0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    ScalingReplicaSet        deployment/dispatch-service              Scaled up replica set dispatch-service-5589cf949c from 0 to 2
12m         Normal    SuccessfulCreate         replicaset/dispatch-service-5589cf949c   Created pod: dispatch-service-5589cf949c-76sb4
12m         Normal    SuccessfulCreate         replicaset/dispatch-service-5589cf949c   Created pod: dispatch-service-5589cf949c-szzdd
12m         Warning   FailedScheduling         pod/dispatch-service-5589cf949c-szzdd    0/3 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
12m         Normal    EnsuringLoadBalancer     service/grid-dashboard                   Ensuring load balancer
12m         Normal    SuccessfulCreate         replicaset/grid-dashboard-66cb797c94     Created pod: grid-dashboard-66cb797c94-66qgc
