LAST SEEN   TYPE      REASON                   OBJECT                                   MESSAGE
5m30s       Warning   FailedScheduling         pod/meter-service-5b8f45f67f-r84s4       0/5 nodes are available: 1 Too many pods, 2 Insufficient cpu, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
5m42s       Warning   FailedScheduling         pod/dispatch-service-5589cf949c-bv2h5    0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/1 nodes are available: 1 Insufficient cpu, 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    Scheduled                pod/rabbitmq-79d58d7457-jfjnj            Successfully assigned energy/rabbitmq-79d58d7457-jfjnj to <REDACTED_NODE>
5m47s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/2 nodes are available: 1 Insufficient cpu, 1 Too many pods, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 1 No preemption victims found for incoming pod, 1 Preemption is not helpful for scheduling.
5m42s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
5m37s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
5m34s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Too many pods, 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
5m30s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/5 nodes are available: 1 Too many pods, 2 Insufficient cpu, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
5m29s       Normal    Scheduled                pod/asset-service-c744d6667-9qkj7        Successfully assigned energy/asset-service-c744d6667-9qkj7 to <REDACTED_NODE>
5m25s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
5m26s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
5m29s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/5 nodes are available: 1 Too many pods, 2 Insufficient cpu, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
5m34s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/4 nodes are available: 1 Too many pods, 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
