LAST SEEN   TYPE      REASON                   OBJECT                                   MESSAGE
7m33s       Warning   FailedScheduling         pod/dispatch-service-5589cf949c-ttm4k    0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
7m19s       Warning   FailedScheduling         pod/dispatch-service-5589cf949c-7f87d    0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
7m46s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/1 nodes are available: 1 Insufficient cpu, 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
12m         Warning   FailedScheduling         pod/meter-service-5b8f45f67f-r84s4       0/5 nodes are available: 1 Insufficient cpu, 1 Too many pods, 4 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 1 No preemption victims found for incoming pod, 4 Preemption is not helpful for scheduling.
7m36s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/2 nodes are available: 1 Insufficient cpu, 1 Too many pods, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 1 No preemption victims found for incoming pod, 1 Preemption is not helpful for scheduling.
7m33s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
7m29s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Insufficient cpu, 1 Too many pods, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 1 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
7m25s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/4 nodes are available: 1 Too many pods, 2 Insufficient cpu, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/4 nodes are available: 2 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
7m21s       Warning   FailedScheduling         pod/asset-service-c744d6667-9qkj7        0/5 nodes are available: 1 Too many pods, 2 Insufficient cpu, 3 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
7m20s       Normal    Scheduled                pod/asset-service-c744d6667-9qkj7        Successfully assigned energy/asset-service-c744d6667-9qkj7 to <REDACTED_NODE>
7m46s       Warning   FailedScheduling         pod/meter-service-5b8f45f67f-r84s4       0/1 nodes are available: 1 Insufficient cpu, 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
27s         Normal    Scheduled                pod/meter-service-5b8f45f67f-ql4xk       Successfully assigned energy/meter-service-5b8f45f67f-ql4xk to <REDACTED_NODE>
6m52s       Normal    Scheduled                pod/rabbitmq-79d58d7457-jfjnj            Successfully assigned energy/rabbitmq-79d58d7457-jfjnj to <REDACTED_NODE>
7m16s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
7m17s       Warning   FailedScheduling         pod/rabbitmq-79d58d7457-jfjnj            0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
7m19s       Warning   FailedScheduling         pod/asset-service-c744d6667-j8sjr        0/5 nodes are available: 2 Too many pods, 2 node(s) had untolerated taint(s), 3 Insufficient cpu. no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
7m17s       Warning   FailedScheduling         pod/asset-service-c744d6667-j8sjr        0/5 nodes are available: 2 Insufficient cpu, 2 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
7m16s       Warning   FailedScheduling         pod/asset-service-c744d6667-j8sjr        0/5 nodes are available: 2 Insufficient cpu, 2 Too many pods, 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/5 nodes are available: 2 Preemption is not helpful for scheduling, 3 No preemption victims found for incoming pod.
6m52s       Normal    Scheduled                pod/asset-service-c744d6667-j8sjr        Successfully assigned energy/asset-service-c744d6667-j8sjr to <REDACTED_NODE>
