LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
11m         Normal    NotTriggerScaleUp              pod/load-simulator-57fc84dfdf-4962f     pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/grid-dashboard-66cb797c94-jpm4n     pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/grid-dashboard-66cb797c94-wksmz     pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/rabbitmq-79d58d7457-j4zdc           pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/asset-service-c744d6667-fgcsz       pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/meter-service-5b8f45f67f-85nk2      pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/meter-service-5b8f45f67f-h7rhc      pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/dispatch-service-5589cf949c-rqx6w   pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/dispatch-service-5589cf949c-mxbp6   pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/ops-console-558566cf95-2rmxq        pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/mongodb-d948b8585-wnvx7             pod didn't trigger scale-up:
11m         Normal    NotTriggerScaleUp              pod/asset-service-c744d6667-fzdfb       pod didn't trigger scale-up:
11m         Warning   UnAvailableLoadBalancer        service/grid-dashboard                  There are no available nodes for LoadBalancer
11m         Normal    EnsuringLoadBalancer           service/grid-dashboard                  Ensuring load balancer
11m         Normal    EnsuredLoadBalancer            service/grid-dashboard                  Ensured load balancer
11m         Normal    EnsuringLoadBalancer           service/ops-console                     Ensuring load balancer
11m         Warning   UnAvailableLoadBalancer        service/ops-console                     There are no available nodes for LoadBalancer
11m         Normal    EnsuredLoadBalancer            service/ops-console                     Ensured load balancer
10m         Warning   FailedToUpdateEndpointSlices   service/ops-console                     Error updating Endpoint Slices for Service energy/ops-console: skipping Pod ops-console-558566cf95-nsqsc for Service energy/ops-console: Node NODE_REDACTED Not Found
10m         Warning   FailedToUpdateEndpointSlices   service/grid-dashboard                  Error updating Endpoint Slices for Service energy/grid-dashboard: skipping Pod grid-dashboard-66cb797c94-kkksl for Service energy/grid-dashboard: Node NODE_REDACTED Not Found
10m         Normal    TriggeredScaleUp               pod/meter-service-5b8f45f67f-h7rhc      pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/asset-service-c744d6667-fzdfb       pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/mongodb-d948b8585-wnvx7             pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/ops-console-558566cf95-2rmxq        pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/dispatch-service-5589cf949c-mxbp6   pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/grid-dashboard-66cb797c94-wksmz     pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/rabbitmq-79d58d7457-j4zdc           pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/grid-dashboard-66cb797c94-jpm4n     pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/asset-service-c744d6667-fgcsz       pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Normal    TriggeredScaleUp               pod/dispatch-service-5589cf949c-rqx6w   pod triggered scale-up: [{NODE_REDACTED 1->3 (max: 10)}]
10m         Warning   FailedScheduling               pod/load-simulator-57fc84dfdf-4962f     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/meter-service-5b8f45f67f-h7rhc      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/grid-dashboard-66cb797c94-wksmz     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/rabbitmq-79d58d7457-j4zdc           0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/asset-service-c744d6667-fgcsz       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/dispatch-service-5589cf949c-mxbp6   0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/meter-service-5b8f45f67f-85nk2      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/dispatch-service-5589cf949c-rqx6w   0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/grid-dashboard-66cb797c94-jpm4n     0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/mongodb-d948b8585-wnvx7             0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/asset-service-c744d6667-fzdfb       0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/ops-console-558566cf95-2rmxq        0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
10m         Warning   FailedScheduling               pod/mongodb-d948b8585-wnvx7             0/2 nodes are available: 1 Insufficient cpu, 1 Too many pods, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 1 No preemption victims found for incoming pod, 1 Preemption is not helpful for scheduling.
9m53s       Warning   FailedScheduling               pod/ops-console-558566cf95-2rmxq        0/2 nodes are available: 1 Insufficient cpu, 1 Too many pods, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 1 No preemption victims found for incoming pod, 1 Preemption is not helpful for scheduling.
9m53s       Normal    Scheduled                      pod/mongodb-d948b8585-wnvx7             Successfully assigned energy/mongodb-d948b8585-wnvx7 to NODE_REDACTED
9m53s       Warning   FailedScheduling               pod/load-simulator-57fc84dfdf-4962f     0/2 nodes are available: 1 Insufficient cpu, 1 Too many pods, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 1 No preemption victims found for incoming pod, 1 Preemption is not helpful for scheduling.
9m44s       Normal    SuccessfulAttachVolume         pod/mongodb-d948b8585-wnvx7             AttachVolume.Attach succeeded for volume "pvc-6eb214d1-f9ea-4805-bc26-d0e417e907c3"
9m43s       Normal    Scheduled                      pod/ops-console-558566cf95-2rmxq        Successfully assigned energy/ops-console-558566cf95-2rmxq to NODE_REDACTED
9m41s       Normal    Pulling                        pod/ops-console-558566cf95-2rmxq        Pulling image "nginx:alpine"
9m39s       Normal    Pulling                        pod/mongodb-d948b8585-wnvx7             Pulling image "mongo:4.4"
